HomeID,VillageCode,Area,WealthRanking,nMembersAdjusted,nGenerations,Composition,NonNormativeComposition,OwnHouse,OwnGuesthouse,OwnFarm,HousingCharacteristics,fHousing,LandSize,LandSizeGeneratingIncome,nCars,nMotorcycles,nBicycles,Toilet,Water,HotWater,Electricity,AC,Fridge,Washer,RiceCooker,TV,TVViewing,CellPhone,Computer,InternetAccess,MedicineAtHome,Livestock,LivestockSales,nPigs,nGoats,nPoultry,nOxen,nHorses,nPigsSold,nGoatsSold,nPoultrySold,nOxenSold,nHorsesSold,PrimarySourceHouseholdIncome,SecondarySourceHouseholdIncome,HHIncomeMonthONLY,HHOtherIncomeONLY,HHIncomeTotalLastYear,HHTotalMonthIncome,HHIncomeIncomplete,IncomeFromRemittance,RegularIncomeFromLand,GovtLumpsumReceived,DibaoPerYear,GovtLandCompensation,HouseholdDebt,SourceOfHouseholdDebt,MajorShockLast5Years,MajorShockLifetime,FoodInsecurityLast5Years,FoodInsecurityChildhood,PctFoodHome,PctFoodMarket,FamilyConditionComparedOtherHouseholds,FamilyConditionCompared10YearsAgo,LastBabyBirthPlace,MotherBirthPlace,LastTimeToClinic,LastTimeToClinicReason,LastTimeToHospital,LastTimeToHospitalReason
307,1.1,1,Average,9,3,Matrilineal,,1,1,3,Brick,,4,1.5,2,1,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,0,9,0,30,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,600000,600000,50000,1,0,R,0,No,,0,,Government policy,Earthquake,Always enough,Always enough,55,45,10,Better,Ninglang,Home,Never,Na,Last year,Pregnancy check up
316,1.1,1,Average,6,2,Bilateral,,1,1,3,Wood,,6,0,1,1,1,2,3,1,1,0,1,1,1,1,4,1,1,1,1,1,0,3,0,30,0,0,0,0,0,0,0,Property and Rent,Salary (Irregular),-999,90000,90000,7500,1,0,R,0,-998,,0,,No shock,Fire,Always enough,Always enough,90,10,3,Better,Ninglang,Home,Never,Na,Few months ago,Kidney stone
317,5.4,5,Average,4,2,Nuclear,,1,0,1,Wood,,5,0,0,1,0,3,3,1,1,0,1,1,1,1,3,1,0,0,1,1,1,21,3,10,8,0,0,0,0,1,0,Agriculture,Salary (Irregular),-999,5000,5000,417,1,0,0,0,-998,,0,,No shock,No shock,Always enough,Sometimes not enough,60,40,5,Better,Home,Home,Last year,Body check,Last year,Stomach pain
340,5.5,5,Very Rich,4,2,Nuclear,,1,0,1,Wood,,999,0,1,0,0,3,3,1,1,0,1,1,1,1,3,1,1,0,1,1,1,5,4,30,0,0,4,0,0,0,0,Agriculture,Business,-999,11000,11000,917,1,0,0,0,-998,,-999,,No shock,No shock,Always enough,Always enough,35,65,-999,Better,-999,Home,Never,Na,Never,Na
341,5.5,5,Average,6,3,Patrilineal,,1,0,1,Wood,,4,0,1,0,0,0,3,0,1,0,1,1,1,1,3,1,0,0,1,1,1,20,7,43,4,0,10,0,0,0,0,Agriculture,Salary (Irregular),-999,7000,7000,583,1,0,0,0,-998,,0,,No shock,No shock,Always enough,Sometimes not enough,65,35,-999,Better,Home,Home,Few years ago,Flu,Few months ago,Kidney inflammation
424,1.2,1,Rich,5,3,Matrilineal,,1,1,0,Wood,,999,-998,1,0,1,3,3,1,1,0,1,1,1,1,3,1,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,Property and Rent,Tourism,3000,-999,36000,3000,1,0,R,-998,No,,0,,No shock,No shock,Always enough,Always enough,75,25,5,Better,-999,Home,Last year,Flu,Few months ago,Eye problem
449,1.2,1,Rich,4,2,Nuclear,1,1,1,0,Concrete,,999,-998,0,0,0,3,3,1,1,0,1,1,1,1,2,1,0,1,1,1,0,0,0,20,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,150000,150000,12500,1,0,RL,0,No,,0,,Illness,No shock,Always enough,Always enough,15,85,5,Better,Ninglang,Home,Long time ago,Flu,Last year,Feet pain
483,2.1,2,Rich,8,4,Bilateral,,1,1,1,Brick,,999,0,1,1,1,0,3,0,1,0,1,1,1,1,3,1,0,1,0,1,1,4,0,50,1,0,5,0,0,3,1,Agriculture,Salary (Regular),-999,20000,20000,1667,1,-999,0,0,No,,0,,No shock,No shock,Always enough,Sometimes not enough,85,15,4,Better,Ninglang,Home,Few years ago,Flu,Last year,Skin allergy
486,2.1,2,Very Poor,4,2,Nuclear,1,1,0,1,Wood,,10,0,0,0,1,0,3,0,1,0,0,1,1,1,3,1,0,0,0,1,0,10,13,10,0,3,0,0,0,0,0,Gifts and Remittances,,0,-999,-999,-999,1,0,0,P,400,,0,,Death,No shock,Always enough,Sometimes not enough,50,50,3,Better,Yongning,Home,Few months ago,Flu,Never,Na
515,4.1,4,Average,10,3,Patrilineal,,1,0,1,Wood,D,1,8.5,2,0,0,3,3,1,1,0,1,0,1,1,3,1,1,0,1,1,1,6,0,20,0,0,0,0,10,0,0,Agriculture,Gifts and Remittances,-999,6000,6000,500,1,-999,L,0,500,,0,,No shock,Accident,Always enough,Sometimes not enough,65,35,5,Better,Ninglang,Home,Few months ago,Hole in Lung follow up,Few years ago,Hole in lung
593,5.9,5,-997,5,3,Patrilineal,,1,0,1,Wood,,3,0,0,0,0,2,2,1,1,0,1,1,1,1,3,1,0,0,1,1,0,3,0,20,0,1,0,0,0,0,0,Salary (Irregular),,3000,-999,36000,3000,1,3000,0,0,No,,0,,No shock,No shock,Always enough,Sometimes not enough,65,35,5,Better,City,Home,Never,Na,Last year,Broke a finger
148,3.1,3,Average,4,2,Matrilineal,,1,0,1,Wood,,1.2,0,0,1,0,2,2,0,1,0,1,1,1,1,3,1,0,1,0,1,1,4,0,10,0,0,1,0,0,0,0,Agriculture,,0,3500,3500,291.6666667,2,-999,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,100,0,5,-997,Home,Home,-999,,Long time ago,Knee problem
157,3.1,3,Average,8,3,Matrilineal,,1,0,1,Wood,,8,0,0,0,0,1,2,1,1,0,1,1,1,1,3,1,0,0,0,1,1,9,0,23,0,0,15,0,0,0,0,Agriculture,Welfare and Subsidy,0,8000,8000,666.6666667,2,-999,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,85,15,5,Better,Yongning,Home,Few months ago,Flu,Never,Na
159,3.1,3,Poor,6,3,Matrilineal,,1,0,1,Wood,,10,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0,1,1,1,1,15,0,28,2,0,12,0,0,0,0,Agriculture,,0,4000,4000,333.3333333,2,-999,0,E,-998,,0,,Accident,No shock,Always enough,Always enough,90,10,3,Better,Ninglang,Home,Long time ago,-999,Few years ago,Nerve
